,04AI200.PV,04AI700.PV,04FC109.PV
,#1 Crude Htr Excess 02,#3 Crude Htr Excess 02,Tank 001 Naphtha Flow to ECU
,%,%,MBPD
01-Jan-09 00:09:59,3.488596916,3.443876743,1.260259748
01-Jan-09 00:19:59,4.191291809,4.811674595,1.256718159
01-Jan-09 00:29:59,4.189362049,4.390408993,1.25317657
01-Jan-09 00:39:59,4.747789383,5.763707638,1.249634981
01-Jan-09 00:49:59,4.87914753,5.628233433,1.246093392
01-Jan-09 00:59:59,5.810962677,7.264139652,1.242551804
01-Jan-09 01:09:59,5.890416622,6.500477314,1.239010215
01-Jan-09 01:19:59,6.705499172,7.671720028,1.235468626
01-Jan-09 01:29:59,6.568614006,7.100570679,1.231927037
01-Jan-09 01:39:59,6.535792351,7.167939663,1.228385448
01-Jan-09 01:49:59,6.502970219,7.209903717,1.22484386
01-Jan-09 01:59:59,6.470148087,7.010606766,1.221302271
01-Jan-09 02:09:59,6.311565399,7.124680519,1.217760682
